GENE	CCLE_CELL	BF
POLB	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	-30.772
POLE	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	49.829
POLD1	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	33.732
POLE2	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	30.456
REV3L	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	9.215
POLD2	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	14.477
POLE3	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	-17.692
POLD3	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	56.281
POLE4	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	-19.126
POLH	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	-13.79
POLG	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	7.057
POLI	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	-34.766
POLG2	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	9.527
POLK	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	-16.409
POLN	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	-26.377
POLL	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	-20.052
POLQ	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	-20.446
POLM	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	-14.348
MAD2L2	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	20.811
POLA2	COV644_OVARY	28.583
POLB	COV644_OVARY	-31.541
POLD1	COV644_OVARY	35.562
MAD2L2	COV644_OVARY	11.918
POLD2	COV644_OVARY	16.362
POLD3	COV644_OVARY	32.806
POLD4	COV644_OVARY	-22.565
POLH	COV644_OVARY	-13.698
POLI	COV644_OVARY	-35.555
POLE	COV644_OVARY	57.143
POLK	COV644_OVARY	-19.563
POLE2	COV644_OVARY	59.187
POLL	COV644_OVARY	-18.742
POLE3	COV644_OVARY	-16.807
POLM	COV644_OVARY	-15.342
POLE4	COV644_OVARY	-21.898
POLN	COV644_OVARY	-23.872
REV3L	COV644_OVARY	7.587
POLG	COV644_OVARY	-11.429
POLQ	COV644_OVARY	-7.948
POLG2	COV644_OVARY	-14.886
MAD2L2	RVH421_SKIN	-9.751
POLH	RVH421_SKIN	-22.276
POLI	RVH421_SKIN	-36.555
POLK	RVH421_SKIN	-17.085
POLL	RVH421_SKIN	-13.528
POLM	RVH421_SKIN	-6.973
POLN	RVH421_SKIN	-25.116
REV3L	RVH421_SKIN	-11.498
POLQ	RVH421_SKIN	6.646
POLD4	RVH421_SKIN	-19.771
POLE	RVH421_SKIN	21.451
POLA2	RVH421_SKIN	-9.232
POLE2	RVH421_SKIN	35.14
POLB	RVH421_SKIN	-31.154
POLE3	RVH421_SKIN	26.043
POLD1	RVH421_SKIN	-2.153
POLE4	RVH421_SKIN	0.128
POLD2	RVH421_SKIN	-1.613
POLG	RVH421_SKIN	2.178
POLD3	RVH421_SKIN	20.172
POLG2	RVH421_SKIN	25.639
REV3L	SNU1041_UPPER_AERODIGESTIVE_TRACT	26.591
POLH	SNU1041_UPPER_AERODIGESTIVE_TRACT	-6.249
POLI	SNU1041_UPPER_AERODIGESTIVE_TRACT	-29.3
POLK	SNU1041_UPPER_AERODIGESTIVE_TRACT	-25.011
POLA2	SNU1041_UPPER_AERODIGESTIVE_TRACT	8.954
POLL	SNU1041_UPPER_AERODIGESTIVE_TRACT	-14.722
POLB	SNU1041_UPPER_AERODIGESTIVE_TRACT	-26.669
POLM	SNU1041_UPPER_AERODIGESTIVE_TRACT	-12.378
POLD1	SNU1041_UPPER_AERODIGESTIVE_TRACT	9.09
POLN	SNU1041_UPPER_AERODIGESTIVE_TRACT	-30.459
MAD2L2	SNU1041_UPPER_AERODIGESTIVE_TRACT	10.643
POLD2	SNU1041_UPPER_AERODIGESTIVE_TRACT	3.118
POLQ	SNU1041_UPPER_AERODIGESTIVE_TRACT	-7.22
POLD3	SNU1041_UPPER_AERODIGESTIVE_TRACT	43.555
POLD4	SNU1041_UPPER_AERODIGESTIVE_TRACT	2.463
POLE	SNU1041_UPPER_AERODIGESTIVE_TRACT	30.384
POLE2	SNU1041_UPPER_AERODIGESTIVE_TRACT	54.061
POLE3	SNU1041_UPPER_AERODIGESTIVE_TRACT	15.302
POLE4	SNU1041_UPPER_AERODIGESTIVE_TRACT	2.487
POLG	SNU1041_UPPER_AERODIGESTIVE_TRACT	10.267
POLG2	SNU1041_UPPER_AERODIGESTIVE_TRACT	27.506
MAD2L2	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	7.743
POLH	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-12.181
POLI	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-38.594
POLK	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-18.661
POLL	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-24.47
POLM	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-24.053
POLN	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-16.079
REV3L	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-0.178
POLQ	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-8.205
POLB	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-24.091
POLA2	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	13.456
POLD1	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	51.159
POLE2	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	31.419
POLE4	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-7.306
POLD2	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	2.112
POLG2	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	2.612
POLG	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-4.348
POLE3	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	1.248
POLD3	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	35.532
POLE	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	28.228
POLD4	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-2.398
POLH	JHH1_LIVER	-22.002
POLI	JHH1_LIVER	-36.628
POLK	JHH1_LIVER	-32.019
POLL	JHH1_LIVER	-27.182
POLM	JHH1_LIVER	-20.354
POLN	JHH1_LIVER	-21.986
MAD2L2	JHH1_LIVER	10.138
POLQ	JHH1_LIVER	-14.869
REV3L	JHH1_LIVER	4.143
POLA2	JHH1_LIVER	24.629
POLB	JHH1_LIVER	-23.281
POLD1	JHH1_LIVER	24.063
POLE4	JHH1_LIVER	-16.811
POLD2	JHH1_LIVER	19.067
POLG	JHH1_LIVER	-1.427
POLE	JHH1_LIVER	39.655
POLD3	JHH1_LIVER	48.815
POLE2	JHH1_LIVER	50.948
POLD4	JHH1_LIVER	-11.983
POLG2	JHH1_LIVER	-1.09
POLE3	JHH1_LIVER	-15.179
MAD2L2	MDAMB157_BREAST	18.134
POLD4	MDAMB157_BREAST	-26.963
POLE	MDAMB157_BREAST	57.255
POLA2	MDAMB157_BREAST	23.629
POLE2	MDAMB157_BREAST	56.281
POLB	MDAMB157_BREAST	-27.509
POLE3	MDAMB157_BREAST	-11.31
POLD1	MDAMB157_BREAST	54.934
POLE4	MDAMB157_BREAST	-21.878
POLD2	MDAMB157_BREAST	22.573
POLG	MDAMB157_BREAST	-24.098
POLD3	MDAMB157_BREAST	55.43
POLG2	MDAMB157_BREAST	-14.306
REV3L	MDAMB157_BREAST	11.224
POLH	MDAMB157_BREAST	-4.163
POLI	MDAMB157_BREAST	-39.197
POLK	MDAMB157_BREAST	-28.919
POLL	MDAMB157_BREAST	-14.828
POLQ	MDAMB157_BREAST	-3.777
POLM	MDAMB157_BREAST	-15.738
POLN	MDAMB157_BREAST	-31.988
POLA2	KNS42_CENTRAL_NERVOUS_SYSTEM	25.599
POLB	KNS42_CENTRAL_NERVOUS_SYSTEM	-25.371
POLD1	KNS42_CENTRAL_NERVOUS_SYSTEM	21.56
POLD2	KNS42_CENTRAL_NERVOUS_SYSTEM	-10.803
POLD3	KNS42_CENTRAL_NERVOUS_SYSTEM	29.095
POLD4	KNS42_CENTRAL_NERVOUS_SYSTEM	-15.987
MAD2L2	KNS42_CENTRAL_NERVOUS_SYSTEM	24.036
POLE	KNS42_CENTRAL_NERVOUS_SYSTEM	28.526
POLE4	KNS42_CENTRAL_NERVOUS_SYSTEM	-11.21
POLE2	KNS42_CENTRAL_NERVOUS_SYSTEM	80.588
REV3L	KNS42_CENTRAL_NERVOUS_SYSTEM	22.345
POLG	KNS42_CENTRAL_NERVOUS_SYSTEM	-10.484
POLE3	KNS42_CENTRAL_NERVOUS_SYSTEM	10.934
POLG2	KNS42_CENTRAL_NERVOUS_SYSTEM	5.213
POLH	KNS42_CENTRAL_NERVOUS_SYSTEM	-11.441
POLI	KNS42_CENTRAL_NERVOUS_SYSTEM	-34.44
POLK	KNS42_CENTRAL_NERVOUS_SYSTEM	-16.654
POLL	KNS42_CENTRAL_NERVOUS_SYSTEM	-5.692
POLM	KNS42_CENTRAL_NERVOUS_SYSTEM	-15.332
POLN	KNS42_CENTRAL_NERVOUS_SYSTEM	-25.615
POLQ	KNS42_CENTRAL_NERVOUS_SYSTEM	-10.028
MAD2L2	SNU201_CENTRAL_NERVOUS_SYSTEM	12.163
POLA2	SNU201_CENTRAL_NERVOUS_SYSTEM	28.172
POLH	SNU201_CENTRAL_NERVOUS_SYSTEM	-7.442
POLB	SNU201_CENTRAL_NERVOUS_SYSTEM	-21.294
POLI	SNU201_CENTRAL_NERVOUS_SYSTEM	-37.896
POLD1	SNU201_CENTRAL_NERVOUS_SYSTEM	37.154
POLK	SNU201_CENTRAL_NERVOUS_SYSTEM	-22.534
POLD2	SNU201_CENTRAL_NERVOUS_SYSTEM	35.657
POLL	SNU201_CENTRAL_NERVOUS_SYSTEM	-4.448
POLD3	SNU201_CENTRAL_NERVOUS_SYSTEM	50.948
POLM	SNU201_CENTRAL_NERVOUS_SYSTEM	-13.029
POLE4	SNU201_CENTRAL_NERVOUS_SYSTEM	-9.114
POLD4	SNU201_CENTRAL_NERVOUS_SYSTEM	-26.613
POLN	SNU201_CENTRAL_NERVOUS_SYSTEM	-14.845
POLG	SNU201_CENTRAL_NERVOUS_SYSTEM	-10.516
POLQ	SNU201_CENTRAL_NERVOUS_SYSTEM	-2.438
POLG2	SNU201_CENTRAL_NERVOUS_SYSTEM	-7.954
POLE	SNU201_CENTRAL_NERVOUS_SYSTEM	47.962
POLE2	SNU201_CENTRAL_NERVOUS_SYSTEM	69.128
POLE3	SNU201_CENTRAL_NERVOUS_SYSTEM	-4.348
REV3L	SNU201_CENTRAL_NERVOUS_SYSTEM	1.034
REV3L	HCC1806_BREAST	5.243
POLA2	HCC1806_BREAST	22.333
POLB	HCC1806_BREAST	-29.77
POLD1	HCC1806_BREAST	42.051
POLH	HCC1806_BREAST	-15.137
POLD2	HCC1806_BREAST	32.77
POLI	HCC1806_BREAST	-28.968
POLD3	HCC1806_BREAST	35.693
POLK	HCC1806_BREAST	-18.549
POLD4	HCC1806_BREAST	-12.318
POLL	HCC1806_BREAST	-16.391
POLM	HCC1806_BREAST	-18.83
POLE	HCC1806_BREAST	29.923
POLN	HCC1806_BREAST	-19.292
POLE2	HCC1806_BREAST	46.048
POLQ	HCC1806_BREAST	-7.331
POLE3	HCC1806_BREAST	-1.234
POLE4	HCC1806_BREAST	-9.649
MAD2L2	HCC1806_BREAST	18.904
POLG	HCC1806_BREAST	-13.683
POLG2	HCC1806_BREAST	-3.39
MAD2L2	LCLC103H_LUNG	14.359
POLA2	LCLC103H_LUNG	13.82
POLH	LCLC103H_LUNG	-21.567
POLB	LCLC103H_LUNG	-25.14
POLI	LCLC103H_LUNG	-33.052
POLD1	LCLC103H_LUNG	23.157
POLK	LCLC103H_LUNG	-14.138
POLE4	LCLC103H_LUNG	-19.147
POLD4	LCLC103H_LUNG	-28.055
POLN	LCLC103H_LUNG	-11.783
POLD2	LCLC103H_LUNG	21.451
POLL	LCLC103H_LUNG	-17.758
POLG	LCLC103H_LUNG	-9.152
POLQ	LCLC103H_LUNG	2.181
POLD3	LCLC103H_LUNG	53.261
POLM	LCLC103H_LUNG	-29.105
POLG2	LCLC103H_LUNG	12.446
POLE	LCLC103H_LUNG	42.699
POLE2	LCLC103H_LUNG	36.39
POLE3	LCLC103H_LUNG	-18.018
REV3L	LCLC103H_LUNG	0.32
REV3L	YD8_UPPER_AERODIGESTIVE_TRACT	-3.46
POLA2	YD8_UPPER_AERODIGESTIVE_TRACT	9.774
POLB	YD8_UPPER_AERODIGESTIVE_TRACT	-23.407
POLD1	YD8_UPPER_AERODIGESTIVE_TRACT	20.958
POLD2	YD8_UPPER_AERODIGESTIVE_TRACT	24.073
POLD3	YD8_UPPER_AERODIGESTIVE_TRACT	28.288
POLD4	YD8_UPPER_AERODIGESTIVE_TRACT	-10.831
POLH	YD8_UPPER_AERODIGESTIVE_TRACT	-8.155
POLI	YD8_UPPER_AERODIGESTIVE_TRACT	-35.069
POLE	YD8_UPPER_AERODIGESTIVE_TRACT	33.674
POLK	YD8_UPPER_AERODIGESTIVE_TRACT	-15.501
POLE2	YD8_UPPER_AERODIGESTIVE_TRACT	50.007
POLL	YD8_UPPER_AERODIGESTIVE_TRACT	-18.725
POLE3	YD8_UPPER_AERODIGESTIVE_TRACT	-14.687
POLM	YD8_UPPER_AERODIGESTIVE_TRACT	-22.364
POLE4	YD8_UPPER_AERODIGESTIVE_TRACT	-16.46
POLN	YD8_UPPER_AERODIGESTIVE_TRACT	-27.416
POLG	YD8_UPPER_AERODIGESTIVE_TRACT	4.681
POLQ	YD8_UPPER_AERODIGESTIVE_TRACT	2.949
POLG2	YD8_UPPER_AERODIGESTIVE_TRACT	9.513
MAD2L2	YD8_UPPER_AERODIGESTIVE_TRACT	29.756
POLG	HS944T_SKIN	0.364
POLG2	HS944T_SKIN	3.828
POLE4	HS944T_SKIN	3.896
POLH	HS944T_SKIN	-28.129
REV3L	HS944T_SKIN	13.749
POLI	HS944T_SKIN	-35.687
POLK	HS944T_SKIN	-29.023
POLD4	HS944T_SKIN	-18.571
POLA2	HS944T_SKIN	9.547
POLL	HS944T_SKIN	-16.294
POLB	HS944T_SKIN	-31.855
POLM	HS944T_SKIN	-13.578
POLE	HS944T_SKIN	41.853
POLD1	HS944T_SKIN	42.781
POLN	HS944T_SKIN	-25.154
POLE2	HS944T_SKIN	46.097
POLD2	HS944T_SKIN	20.172
POLQ	HS944T_SKIN	-11.538
POLE3	HS944T_SKIN	13.613
POLD3	HS944T_SKIN	41.786
MAD2L2	HS944T_SKIN	31.989
POLH	FU97_STOMACH	-15.016
POLI	FU97_STOMACH	-31.938
POLK	FU97_STOMACH	-20.474
REV3L	FU97_STOMACH	-4.165
POLL	FU97_STOMACH	-15.752
POLM	FU97_STOMACH	-14.973
POLD4	FU97_STOMACH	-5.709
POLN	FU97_STOMACH	-23.504
POLA2	FU97_STOMACH	-1.952
POLQ	FU97_STOMACH	-9.338
POLB	FU97_STOMACH	-36.004
POLE	FU97_STOMACH	43.146
POLD1	FU97_STOMACH	44.977
POLE4	FU97_STOMACH	-21.136
POLE2	FU97_STOMACH	17.427
POLD2	FU97_STOMACH	-1.18
POLG	FU97_STOMACH	-11.571
POLE3	FU97_STOMACH	-18.484
POLD3	FU97_STOMACH	40.939
POLG2	FU97_STOMACH	-22.641
MAD2L2	FU97_STOMACH	33.155
POLA2	NCIH441_LUNG	4.969
POLG	NCIH441_LUNG	-8.134
POLB	NCIH441_LUNG	-19.236
POLG2	NCIH441_LUNG	4.62
POLD1	NCIH441_LUNG	51.299
POLE4	NCIH441_LUNG	-7.524
POLD4	NCIH441_LUNG	4.5
POLH	NCIH441_LUNG	-16.044
POLD2	NCIH441_LUNG	13.579
POLI	NCIH441_LUNG	-23.425
POLD3	NCIH441_LUNG	42.166
POLE	NCIH441_LUNG	39.361
POLK	NCIH441_LUNG	-20.317
POLE2	NCIH441_LUNG	54.989
POLL	NCIH441_LUNG	-10.85
POLE3	NCIH441_LUNG	-6.888
POLM	NCIH441_LUNG	-17.462
POLN	NCIH441_LUNG	-15.825
POLQ	NCIH441_LUNG	-5.3
REV3L	NCIH441_LUNG	15.241
MAD2L2	NCIH441_LUNG	26.346
POLA2	TE1_OESOPHAGUS	27.627
POLB	TE1_OESOPHAGUS	-34.211
POLD1	TE1_OESOPHAGUS	42.51
POLE4	TE1_OESOPHAGUS	-21.802
POLD2	TE1_OESOPHAGUS	10.637
POLG	TE1_OESOPHAGUS	-10.465
POLD3	TE1_OESOPHAGUS	27.299
POLG2	TE1_OESOPHAGUS	8.254
POLD4	TE1_OESOPHAGUS	-4.898
POLH	TE1_OESOPHAGUS	-1.497
POLI	TE1_OESOPHAGUS	-33.075
POLE	TE1_OESOPHAGUS	35.532
POLK	TE1_OESOPHAGUS	-30.636
POLE2	TE1_OESOPHAGUS	38.118
POLL	TE1_OESOPHAGUS	-9.186
POLE3	TE1_OESOPHAGUS	-17.149
POLM	TE1_OESOPHAGUS	-12.418
MAD2L2	TE1_OESOPHAGUS	13.389
POLN	TE1_OESOPHAGUS	-21.061
POLQ	TE1_OESOPHAGUS	-8.962
REV3L	TE1_OESOPHAGUS	4.848
POLA2	NCIH28_PLEURA	-4.19
POLB	NCIH28_PLEURA	-29.014
POLD1	NCIH28_PLEURA	0.185
POLD2	NCIH28_PLEURA	-7.686
POLD3	NCIH28_PLEURA	45.446
POLE4	NCIH28_PLEURA	-16.002
POLD4	NCIH28_PLEURA	-15.602
POLG	NCIH28_PLEURA	-17.413
POLG2	NCIH28_PLEURA	-4.384
POLE	NCIH28_PLEURA	17.362
POLH	NCIH28_PLEURA	2.899
POLE2	NCIH28_PLEURA	62.522
POLI	NCIH28_PLEURA	-28.547
POLE3	NCIH28_PLEURA	29.421
POLK	NCIH28_PLEURA	-12.356
POLN	NCIH28_PLEURA	-26.431
POLL	NCIH28_PLEURA	6.887
POLQ	NCIH28_PLEURA	-14.806
POLM	NCIH28_PLEURA	-17.51
MAD2L2	NCIH28_PLEURA	1.758
REV3L	NCIH28_PLEURA	-14.179
POLD4	786O_KIDNEY	-17.911
POLE	786O_KIDNEY	41.054
POLE2	786O_KIDNEY	67.137
POLE3	786O_KIDNEY	40.423
POLE4	786O_KIDNEY	14.648
POLA2	786O_KIDNEY	18.533
POLG	786O_KIDNEY	5.151
POLB	786O_KIDNEY	-27.171
POLG2	786O_KIDNEY	6.099
POLD1	786O_KIDNEY	29.83
MAD2L2	786O_KIDNEY	14.522
POLH	786O_KIDNEY	-22.936
POLD2	786O_KIDNEY	10.814
POLI	786O_KIDNEY	-43.476
POLD3	786O_KIDNEY	40.936
POLK	786O_KIDNEY	-21.998
POLL	786O_KIDNEY	-13.09
POLM	786O_KIDNEY	-21.032
POLN	786O_KIDNEY	-17.491
POLQ	786O_KIDNEY	1.875
REV3L	786O_KIDNEY	7.537
POLD4	SW620_LARGE_INTESTINE	-20.724
POLE	SW620_LARGE_INTESTINE	39.695
MAD2L2	SW620_LARGE_INTESTINE	30.502
POLE2	SW620_LARGE_INTESTINE	40.723
POLE3	SW620_LARGE_INTESTINE	-13.836
POLE4	SW620_LARGE_INTESTINE	-17.678
POLG	SW620_LARGE_INTESTINE	21.065
POLG2	SW620_LARGE_INTESTINE	16.16
POLA2	SW620_LARGE_INTESTINE	18.226
POLB	SW620_LARGE_INTESTINE	-30.73
POLD1	SW620_LARGE_INTESTINE	60.804
POLH	SW620_LARGE_INTESTINE	-14.69
POLD2	SW620_LARGE_INTESTINE	19.965
POLI	SW620_LARGE_INTESTINE	-39.057
POLD3	SW620_LARGE_INTESTINE	41.215
POLK	SW620_LARGE_INTESTINE	-17.162
POLL	SW620_LARGE_INTESTINE	-10.842
POLM	SW620_LARGE_INTESTINE	-9.384
POLN	SW620_LARGE_INTESTINE	-21.839
POLQ	SW620_LARGE_INTESTINE	-13.533
REV3L	SW620_LARGE_INTESTINE	7.344
POLD4	SUIT2_PANCREAS	-12.367
POLE	SUIT2_PANCREAS	37.894
POLA2	SUIT2_PANCREAS	10.067
POLE2	SUIT2_PANCREAS	61.836
POLB	SUIT2_PANCREAS	-31.271
POLE3	SUIT2_PANCREAS	45.234
POLD1	SUIT2_PANCREAS	40.857
POLE4	SUIT2_PANCREAS	10.948
POLH	SUIT2_PANCREAS	-13.85
POLD2	SUIT2_PANCREAS	11.277
POLG	SUIT2_PANCREAS	-9.746
POLI	SUIT2_PANCREAS	-28.971
POLD3	SUIT2_PANCREAS	39.804
POLG2	SUIT2_PANCREAS	22.903
POLK	SUIT2_PANCREAS	-21.245
POLN	SUIT2_PANCREAS	-21.736
POLL	SUIT2_PANCREAS	-6.016
POLQ	SUIT2_PANCREAS	-17.879
POLM	SUIT2_PANCREAS	-18.423
MAD2L2	SUIT2_PANCREAS	14.021
REV3L	SUIT2_PANCREAS	-5.175
POLD4	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-15.883
POLE	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	45.234
POLE2	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	56.426
POLE3	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-13.034
POLE4	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	9.643
MAD2L2	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	24.773
POLG	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-14.876
POLG2	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-10.335
POLA2	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.406
POLH	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-7.335
POLB	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-24.774
POLI	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-21.353
POLD1	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	23.281
REV3L	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.049
POLD2	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	32.485
POLK	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-22.435
POLD3	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	28.661
POLN	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-21.078
POLL	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-17.991
POLQ	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.298
POLM	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-12.081
MAD2L2	A2780_OVARY	47.561
REV3L	A2780_OVARY	14.243
POLE4	A2780_OVARY	-8.1
POLD4	A2780_OVARY	-18.967
POLG	A2780_OVARY	22.111
POLG2	A2780_OVARY	20.846
POLN	A2780_OVARY	-18.471
POLE	A2780_OVARY	34.206
POLA2	A2780_OVARY	15.222
POLQ	A2780_OVARY	-5.167
POLH	A2780_OVARY	-12.67
POLE2	A2780_OVARY	35.334
POLI	A2780_OVARY	-32.425
POLE3	A2780_OVARY	-7.449
POLB	A2780_OVARY	-31.911
POLK	A2780_OVARY	-22.015
POLD1	A2780_OVARY	32.633
POLD3	A2780_OVARY	45.094
POLL	A2780_OVARY	-15.327
POLM	A2780_OVARY	-8.802
POLD2	A2780_OVARY	27.299
MAD2L2	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	21.663
POLD4	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-17.128
REV3L	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.762
POLE	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	39.519
POLA2	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.294
POLE2	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	62.204
POLB	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-11.538
POLE3	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.447
POLD1	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	34.468
POLE4	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-17.076
POLD2	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	13.925
POLG	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-4.462
POLD3	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	40.175
POLG2	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-1.442
POLN	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-19.154
POLH	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-7.692
POLQ	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.131
POLI	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-30.279
POLK	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-22.077
POLL	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-25.397
POLM	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-15.191
POLD4	WM1799_SKIN	4.267
POLE	WM1799_SKIN	27.928
POLE4	WM1799_SKIN	-2.811
POLA2	WM1799_SKIN	13.82
MAD2L2	WM1799_SKIN	6.719
POLE2	WM1799_SKIN	39.417
REV3L	WM1799_SKIN	0.646
POLG	WM1799_SKIN	3.176
POLB	WM1799_SKIN	-28.845
POLE3	WM1799_SKIN	-12.43
POLG2	WM1799_SKIN	18.627
POLD1	WM1799_SKIN	23.444
POLH	WM1799_SKIN	-18.074
POLD2	WM1799_SKIN	4.228
POLI	WM1799_SKIN	-31.502
POLD3	WM1799_SKIN	42.844
POLK	WM1799_SKIN	-9.318
POLL	WM1799_SKIN	-6.837
POLM	WM1799_SKIN	4.598
POLN	WM1799_SKIN	-19.519
POLQ	WM1799_SKIN	-19.415
REV3L	OVTOKO_OVARY	-8.447
MAD2L2	OVTOKO_OVARY	5.476
POLH	OVTOKO_OVARY	-23.966
POLI	OVTOKO_OVARY	-28.626
POLK	OVTOKO_OVARY	-18.262
POLN	OVTOKO_OVARY	-17.289
POLL	OVTOKO_OVARY	-3.576
POLQ	OVTOKO_OVARY	6.828
POLM	OVTOKO_OVARY	-12.888
POLA2	OVTOKO_OVARY	6.927
POLB	OVTOKO_OVARY	-34.106
POLD1	OVTOKO_OVARY	24.073
POLE4	OVTOKO_OVARY	-19.507
POLD4	OVTOKO_OVARY	-14.752
POLD2	OVTOKO_OVARY	-0.068
POLG	OVTOKO_OVARY	-13.374
POLD3	OVTOKO_OVARY	41.3
POLG2	OVTOKO_OVARY	21.928
POLE	OVTOKO_OVARY	33.863
POLE2	OVTOKO_OVARY	31.837
POLE3	OVTOKO_OVARY	-0.406
MAD2L2	SKMES1_LUNG	21.303
REV3L	SKMES1_LUNG	9.513
POLN	SKMES1_LUNG	-25.973
POLH	SKMES1_LUNG	-14.762
POLQ	SKMES1_LUNG	-5.983
POLI	SKMES1_LUNG	-35.431
POLK	SKMES1_LUNG	-17.264
POLA2	SKMES1_LUNG	25.19
POLL	SKMES1_LUNG	-12.343
POLB	SKMES1_LUNG	-27.733
