GENE	CCLE_CELL	BF
REV3L	HT1080_SOFT_TISSUE	15.69
MAD2L2	D283MED_CENTRAL_NERVOUS_SYSTEM	26.929
REV3L	D283MED_CENTRAL_NERVOUS_SYSTEM	16.746
POLL	D283MED_CENTRAL_NERVOUS_SYSTEM	-7.198
POLM	D283MED_CENTRAL_NERVOUS_SYSTEM	-16.021
POLN	D283MED_CENTRAL_NERVOUS_SYSTEM	-17.522
POLE2	D283MED_CENTRAL_NERVOUS_SYSTEM	51.68
POLQ	D283MED_CENTRAL_NERVOUS_SYSTEM	-17.025
POLE3	D283MED_CENTRAL_NERVOUS_SYSTEM	-1.356
POLE4	D283MED_CENTRAL_NERVOUS_SYSTEM	-2.05
POLG	D283MED_CENTRAL_NERVOUS_SYSTEM	-1.783
POLG2	D283MED_CENTRAL_NERVOUS_SYSTEM	2.192
POLH	D283MED_CENTRAL_NERVOUS_SYSTEM	-3.676
POLI	D283MED_CENTRAL_NERVOUS_SYSTEM	-36.086
POLK	D283MED_CENTRAL_NERVOUS_SYSTEM	-12.051
POLD2	D283MED_CENTRAL_NERVOUS_SYSTEM	29.777
POLD3	D283MED_CENTRAL_NERVOUS_SYSTEM	42.982
POLD1	D283MED_CENTRAL_NERVOUS_SYSTEM	50.948
POLD4	D283MED_CENTRAL_NERVOUS_SYSTEM	-24.648
POLA2	D283MED_CENTRAL_NERVOUS_SYSTEM	14.542
POLB	D283MED_CENTRAL_NERVOUS_SYSTEM	-32.99
POLE	D283MED_CENTRAL_NERVOUS_SYSTEM	37.012
MAD2L2	PANC1005_PANCREAS	28.887
REV3L	PANC1005_PANCREAS	-4.339
POLA2	PANC1005_PANCREAS	19.067
POLB	PANC1005_PANCREAS	-30.422
POLD1	PANC1005_PANCREAS	65.804
POLD2	PANC1005_PANCREAS	24.697
POLD3	PANC1005_PANCREAS	37.375
POLD4	PANC1005_PANCREAS	-21.802
POLH	PANC1005_PANCREAS	-15.121
POLE2	PANC1005_PANCREAS	67.137
POLI	PANC1005_PANCREAS	-31.276
POLE3	PANC1005_PANCREAS	-5.478
POLE	PANC1005_PANCREAS	33.728
POLK	PANC1005_PANCREAS	-22.286
POLE4	PANC1005_PANCREAS	-17.031
POLL	PANC1005_PANCREAS	-22.75
POLG	PANC1005_PANCREAS	-15.826
POLG2	PANC1005_PANCREAS	-7.954
POLM	PANC1005_PANCREAS	-8.359
POLN	PANC1005_PANCREAS	-17.848
POLQ	PANC1005_PANCREAS	-17.706
POLA2	HS683_CENTRAL_NERVOUS_SYSTEM	21.867
POLB	HS683_CENTRAL_NERVOUS_SYSTEM	-30.879
POLD1	HS683_CENTRAL_NERVOUS_SYSTEM	57.466
REV3L	HS683_CENTRAL_NERVOUS_SYSTEM	23.131
POLD2	HS683_CENTRAL_NERVOUS_SYSTEM	28.574
POLD3	HS683_CENTRAL_NERVOUS_SYSTEM	50.007
POLD4	HS683_CENTRAL_NERVOUS_SYSTEM	-25.401
POLE	HS683_CENTRAL_NERVOUS_SYSTEM	45.234
POLE2	HS683_CENTRAL_NERVOUS_SYSTEM	48.766
POLL	HS683_CENTRAL_NERVOUS_SYSTEM	-18.435
POLE3	HS683_CENTRAL_NERVOUS_SYSTEM	-15.953
POLM	HS683_CENTRAL_NERVOUS_SYSTEM	-21.085
POLE4	HS683_CENTRAL_NERVOUS_SYSTEM	-15.726
POLN	HS683_CENTRAL_NERVOUS_SYSTEM	-20.577
POLG	HS683_CENTRAL_NERVOUS_SYSTEM	-27.512
POLQ	HS683_CENTRAL_NERVOUS_SYSTEM	2.372
POLG2	HS683_CENTRAL_NERVOUS_SYSTEM	-4.148
POLH	HS683_CENTRAL_NERVOUS_SYSTEM	5.015
POLI	HS683_CENTRAL_NERVOUS_SYSTEM	-36.27
POLK	HS683_CENTRAL_NERVOUS_SYSTEM	-21.657
MAD2L2	HS683_CENTRAL_NERVOUS_SYSTEM	21.887
POLA2	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	40.401
POLB	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-30.026
POLD1	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-5.832
POLD2	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	16.768
POLD3	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	24.527
