GENE	FancG_HCT116_T1	FancG_HCT116_T2	FancL_HCT116_T1	FancL_HCT116_T2	WT_HCT116_T1	WT_HCT116_T2
AC016757.3	-4.188	-1.7819999999999998	-10.647	-20.206	-18.557000000000002	-17.204
AC018755.1	-9.152999999999999	-16.215	-11.779000000000002	-15.184000000000001	-12.194	-13.747
AC079612.1	-5.331	-12.469000000000001	-5.016	-17.993	-10.722000000000001	-18.284000000000002
AC091801.1	-5.466	-21.199	-0.396	-1.945	-16.248	-48.506
AC093802.1	-7.381	-13.263	-9.951	-16.535	-21.801	-40.606
AC106876.2	-9.076	-13.175999999999998	-13.373	-11.762	-25.009	-35.918
ACAA1	-13.315	-18.452	-6.002999999999999	12.254000000000001	-14.335999999999999	-2.224
ACAA2	-1.666	-12.417	-10.884	-24.156999999999996	-19.55	-38.891
ACACA	-3.1439999999999997	-4.435	-4.734	-0.948	-6.61	13.077
ACACB	-9.184	-15.065999999999999	-11.37	-12.915999999999999	-23.166	-23.346
ACAD10	3.679	-2.556	-9.009	-16.97	-14.475999999999999	-23.741
ACAD11	3.298	-8.968	-3.5660000000000003	-21.956999999999997	-7.372999999999999	-27.52
ACAD8	0.212	4.7989999999999995	-2.517	-1.7009999999999998	-6.151	-9.707
ACAD9	-1.454	3.068	-2.454	4.3580000000000005	1.3619999999999999	-0.5589999999999999
ACADL	-8.638	-11.612	-15.732000000000001	-23.125999999999998	-22.264	-28.405
ACADM	-2.306	-7.381	0.557	-6.587999999999999	-2.888	3.182
ACADS	1.508	-1.982	-6.9510000000000005	-12.700999999999999	-12.027000000000001	-19.182000000000002
ACADSB	15.394	-7.702000000000001	21.204	6.599	9.206	-29.166
ACADVL	-0.613	6.619	2.873	0.655	-15.093	-8.203
ACAN	0.115	-8.921	-5.44	-29.148000000000003	-3.8310000000000004	-16.885
ACAP1	-1.931	-8.837	-12.042	-16.000999999999998	-7.446000000000001	-14.392000000000001
ACAP2	1.681	-3.9139999999999997	-7.369	-17.824	-13.651	-25.371
ACAP3	0.07	2.329	2.9410000000000003	5.638	-4.599	-6.149
ACAT1	3.573	-9.918	0.33899999999999997	-13.401	3.762	-29.451
ACAT2	-2.16	-13.883	-7.477	-18.773	-7.602	-11.667
ACBD3	-0.568	-7.534	-4.638	-11.047	-16.44	-26.484
ACBD4	-0.607	-1.402	-5.274	-9.068	-11.033	-11.606
ACBD5	-0.252	-3.404	0.289	-9.857000000000001	-5.718	-15.927999999999999
ACBD6	-4.868	2.642	-13.79	-13.007	-19.076	-14.258
ACBD7	9.814	1.015	6.997999999999999	-18.935	1.806	-26.94
ACCS	-2.87	-3.822	-6.895	-8.982999999999999	-10.697000000000001	-8.266
ACCSL	-6.202999999999999	-10.974	-10.741	-11.600999999999999	-8.158	-16.95
ACD	-8.161	7.681	-18.488	1.58	-19.262999999999998	-2.9760000000000004
ACE	-8.702	3.603	-7.415	-5.6160000000000005	-27.226	-18.011
ACE2	4.191	-5.8420000000000005	-0.925	-13.02	3.2960000000000003	-20.368
ACER1	-11.582	-14.249	-15.349	-12.914000000000001	-15.800999999999998	-14.763
ACER2	-1.95	-1.619	-2.015	-1.7409999999999999	-0.256	-4.9239999999999995
ACER3	-3.989	-11.300999999999998	-11.334000000000001	-9.227	-11.380999999999998	-20.000999999999998
ACHE	-1.068	8.629	-5.997000000000001	8.301	-5.432	10.07
ACIN1	4.413	-11.388	5.118	-12.181	0.634	-8.908
ACKR2	2.802	-5.559	-5.135	-26.893	-5.747000000000001	-32.726
ACKR3	-7.18	-8.711	-20.017	-27.351999999999997	-10.962	-10.947000000000001
ACKR4	-4.888999999999999	-18.515	-3.513	-13.114	-2.801	-15.800999999999998
ACLY	-0.488	-12.841	6.27	-18.322	-4.336	-7.0
ACMSD	-2.779	-12.9	-1.726	-6.122999999999999	-12.745999999999999	-28.070999999999998
ACN9	-7.5889999999999995	-12.466	-7.252999999999999	-0.16399999999999998	-15.48	-2.309
ACO1	-1.604	-13.825999999999999	-9.087	-26.771	-17.642	-40.662
ACO2	13.967	16.142	30.19	40.425	31.454	51.503
ACOT11	1.787	-1.085	-12.696	-34.734	-4.938	-16.397000000000002
ACOT12	-9.085	-21.614	-18.918	-27.677	-23.031999999999996	-39.114000000000004
ACOT13	-0.784	0.042	-2.415	-4.986000000000001	-19.018	-36.95
ACOT2	-1.006	-3.037	-4.218999999999999	-5.805	-18.94	-33.124
ACOT4	-2.932	3.05	-9.091000000000001	-10.107000000000001	-15.494000000000002	-22.771
ACOT6	16.535	3.897	13.775	-15.407	1.8	-31.241
ACOT7	-11.11	-14.957	-18.465999999999998	-26.695	-21.618000000000002	-18.299
ACOT8	-4.592	0.069	-19.575	-12.262	-28.796	-25.802
ACOT9	4.178	-6.455	-8.341000000000001	-20.282	-13.380999999999998	-30.743000000000002
ACOX1	0.11900000000000001	-5.885	-3.0639999999999996	-13.058	1.307	-16.823
ACOX2	-8.094	-9.806000000000001	-16.994	-19.615	-13.468	-19.819000000000003
ACOX3	-4.354	1.608	-4.274	0.5920000000000001	-10.133	-2.842
ACOXL	2.725	-7.959	-0.066	-8.885	-1.9580000000000002	-18.629
ACP1	-6.081	-12.025	-5.506	-9.039	-6.053	-10.488
ACP2	-12.717	-12.696	-18.316	-18.82	-29.236	-37.694
ACP5	-17.69	-24.256	-13.327	-17.098	-24.44	-19.733
ACP6	-5.874	-4.766	-13.562999999999999	-22.293000000000003	-22.775	-31.025
ACPL2	1.611	-11.530999999999999	-7.855	-13.129000000000001	-5.544	-17.883
ACPP	0.46399999999999997	-1.008	-10.927999999999999	-30.691	-13.302	-22.455
ACPT	-12.255999999999998	-21.456999999999997	-15.116	-20.651999999999997	-25.704	-30.458000000000002
ACR	0.46399999999999997	2.068	-4.756	-6.232	3.364	2.327
ACRBP	-7.257999999999999	-13.876	-14.515	-17.506	-30.123	-39.055
